Feature,Coefficient,Absolute_Coefficient
Date_2013-06-07,-2.0282271702453399e-07,2.0282271702453399e-07
Date_2017-05-30,2.0275618721841693e-07,2.0275618721841693e-07
Date_2010-11-22,-2.0237126080315605e-07,2.0237126080315605e-07
Date_2015-09-26,2.0192023641413776e-07,2.0192023641413776e-07
Date_2010-07-14,-2.015491033285118e-07,2.015491033285118e-07
Date_2014-04-27,-2.0108949386875052e-07,2.0108949386875052e-07
Date_2022-10-05,-2.0050403202076056e-07,2.0050403202076056e-07
Date_2016-10-27,2.002534875743368e-07,2.002534875743368e-07
Date_2016-06-06,1.996391860085653e-07,1.996391860085653e-07
Date_2014-02-12,1.9794279750837003e-07,1.9794279750837003e-07
Date_2012-11-28,1.9744829050918758e-07,1.9744829050918758e-07
Date_2011-09-20,-1.968477093739627e-07,1.968477093739627e-07
Date_2015-07-29,1.9640310269831828e-07,1.9640310269831828e-07
Date_2011-08-12,1.945223846186104e-07,1.945223846186104e-07
Date_2021-07-14,-1.9421892518751633e-07,1.9421892518751633e-07
Date_2022-09-13,1.9415568691326143e-07,1.9415568691326143e-07
Date_2020-07-16,1.9358874010300316e-07,1.9358874010300316e-07
Date_2012-03-18,1.921004500657479e-07,1.921004500657479e-07
Date_2019-02-16,1.919252477329787e-07,1.919252477329787e-07
Date_2014-10-17,1.917660900570779e-07,1.917660900570779e-07
Date_2014-12-17,-1.9098997364118737e-07,1.9098997364118737e-07
Date_2021-04-30,-1.90921624912193e-07,1.90921624912193e-07
Date_2023-01-24,1.9020618581126943e-07,1.9020618581126943e-07
Date_2020-10-10,1.901070341561161e-07,1.901070341561161e-07
Date_2015-12-04,1.900458606287157e-07,1.900458606287157e-07
Date_2017-08-21,1.8989153105563575e-07,1.8989153105563575e-07
Date_2011-07-19,-1.8984848096828652e-07,1.8984848096828652e-07
Date_2011-01-26,-1.8969243536211844e-07,1.8969243536211844e-07
Date_2012-06-26,1.8903875595687953e-07,1.8903875595687953e-07
Date_2015-06-15,-1.8901713080383593e-07,1.8901713080383593e-07
Date_2011-10-20,1.883809120758632e-07,1.883809120758632e-07
Date_2013-09-07,1.8832296203186745e-07,1.8832296203186745e-07
Date_2017-08-07,1.8823589226956545e-07,1.8823589226956545e-07
Date_2022-09-22,-1.8802605144437968e-07,1.8802605144437968e-07
Date_2022-06-01,1.872062439766684e-07,1.872062439766684e-07
Date_2021-02-21,-1.871979159161633e-07,1.871979159161633e-07
Date_2019-10-03,1.8693277084110044e-07,1.8693277084110044e-07
Date_2018-01-17,-1.868729289271563e-07,1.868729289271563e-07
Date_2021-04-21,1.8679395476315966e-07,1.8679395476315966e-07
Date_2019-04-06,1.8615760615719136e-07,1.8615760615719136e-07
Date_2015-03-04,-1.8610117248023205e-07,1.8610117248023205e-07
Date_2016-08-14,1.860024040882958e-07,1.860024040882958e-07
Date_2021-11-03,-1.8593919157948953e-07,1.8593919157948953e-07
Date_2011-03-09,1.856586551948489e-07,1.856586551948489e-07
Date_2012-12-23,-1.8564149374131239e-07,1.8564149374131239e-07
Date_2019-09-28,1.8528426417163154e-07,1.8528426417163154e-07
Date_2019-11-18,1.8498665662344636e-07,1.8498665662344636e-07
Date_2014-12-05,-1.8440490443601724e-07,1.8440490443601724e-07
Date_2013-08-29,-1.8412142499712013e-07,1.8412142499712013e-07
Date_2017-03-07,-1.8356474835625645e-07,1.8356474835625645e-07
Date_2014-01-06,-1.8352694795353172e-07,1.8352694795353172e-07
Date_2021-05-08,-1.8223179452349064e-07,1.8223179452349064e-07
Date_2011-06-21,1.8174947322957472e-07,1.8174947322957472e-07
Date_2010-08-10,-1.8165691071988336e-07,1.8165691071988336e-07
Date_2021-09-11,1.8145256716142078e-07,1.8145256716142078e-07
Date_2016-04-02,-1.8139584352262926e-07,1.8139584352262926e-07
Date_2019-09-03,-1.8066621782640042e-07,1.8066621782640042e-07
Date_2016-12-06,-1.8043532035764903e-07,1.8043532035764903e-07
Date_2022-04-01,-1.8042590252942433e-07,1.8042590252942433e-07
Date_2013-08-02,1.8041744341040357e-07,1.8041744341040357e-07
Date_2019-11-07,1.8025747110098214e-07,1.8025747110098214e-07
Date_2022-07-03,1.8021546344762958e-07,1.8021546344762958e-07
Date_2012-09-09,-1.7998600702820162e-07,1.7998600702820162e-07
Date_2014-11-10,1.7983694546461653e-07,1.7983694546461653e-07
Date_2019-09-23,1.797612915539868e-07,1.797612915539868e-07
Date_2022-06-11,-1.7974775732303253e-07,1.7974775732303253e-07
Date_2018-04-10,-1.7952750044639915e-07,1.7952750044639915e-07
Date_2018-12-07,-1.7942967808940945e-07,1.7942967808940945e-07
Date_2013-03-07,-1.7934646086246125e-07,1.7934646086246125e-07
Date_2022-04-26,1.7913720488041396e-07,1.7913720488041396e-07
Date_2017-07-02,1.79048412752537e-07,1.79048412752537e-07
Date_2021-09-05,1.786477477212506e-07,1.786477477212506e-07
Date_2022-05-01,-1.7859446590121885e-07,1.7859446590121885e-07
Date_2011-06-01,-1.7848578779297549e-07,1.7848578779297549e-07
Date_2014-04-22,1.7845623143250724e-07,1.7845623143250724e-07
Date_2014-07-14,1.784357094840639e-07,1.784357094840639e-07
Date_2015-08-19,1.7822055926504562e-07,1.7822055926504562e-07
Date_2021-05-23,1.7820019912703885e-07,1.7820019912703885e-07
Date_2021-03-08,1.780668724090431e-07,1.780668724090431e-07
Date_2017-11-03,1.7791264813344107e-07,1.7791264813344107e-07
Date_2011-10-16,-1.7782688716412413e-07,1.7782688716412413e-07
Date_2020-11-06,1.7742625152140992e-07,1.7742625152140992e-07
Date_2019-05-24,-1.7741903313780543e-07,1.7741903313780543e-07
Date_2017-12-26,1.77418239072854e-07,1.77418239072854e-07
Date_2010-12-27,1.7712573805251392e-07,1.7712573805251392e-07
Date_2017-08-17,1.768658036453346e-07,1.768658036453346e-07
Date_2016-10-17,-1.768631427349047e-07,1.768631427349047e-07
Date_2013-12-07,-1.7675973957103987e-07,1.7675973957103987e-07
Date_2022-08-07,-1.7638446567950933e-07,1.7638446567950933e-07
Date_2020-03-19,1.7608712856725494e-07,1.7608712856725494e-07
Date_2018-03-06,-1.7586835596555908e-07,1.7586835596555908e-07
Date_2019-10-12,1.7583601450321445e-07,1.7583601450321445e-07
Date_2022-05-13,1.7501120757755634e-07,1.7501120757755634e-07
Date_2010-07-15,-1.747458522144595e-07,1.747458522144595e-07
Date_2012-05-12,1.7465948152226702e-07,1.7465948152226702e-07
Date_2021-03-04,1.746337162078639e-07,1.746337162078639e-07
Date_2014-05-30,1.7420287744956723e-07,1.7420287744956723e-07
Date_2020-02-12,-1.7385303083757582e-07,1.7385303083757582e-07
Date_2016-09-26,-1.737820609746116e-07,1.737820609746116e-07
Date_2017-09-12,1.7335765569195408e-07,1.7335765569195408e-07
Date_2019-09-21,-1.7257044917666347e-07,1.7257044917666347e-07
Date_2014-12-03,-1.721850629564565e-07,1.721850629564565e-07
Date_2014-10-28,-1.7209941207868811e-07,1.7209941207868811e-07
Date_2013-02-16,1.7196072306238518e-07,1.7196072306238518e-07
Date_2017-11-16,1.7141018163621179e-07,1.7141018163621179e-07
Date_2021-05-03,1.712497711071183e-07,1.712497711071183e-07
Date_2017-10-28,1.7097679316255298e-07,1.7097679316255298e-07
Date_2013-03-21,1.7054730387071206e-07,1.7054730387071206e-07
Date_2019-03-18,1.7003523573916122e-07,1.7003523573916122e-07
Date_2017-04-25,-1.6998480571144288e-07,1.6998480571144288e-07
Date_2018-12-03,1.6942203754981234e-07,1.6942203754981234e-07
Date_2017-08-28,1.6940790829535903e-07,1.6940790829535903e-07
Date_2019-04-12,-1.6871954157266084e-07,1.6871954157266084e-07
Date_2017-09-30,1.6863488849405573e-07,1.6863488849405573e-07
Date_2011-03-23,-1.6848096478216318e-07,1.6848096478216318e-07
Date_2013-02-26,1.6842366708911534e-07,1.6842366708911534e-07
Date_2017-08-27,1.684152719133799e-07,1.684152719133799e-07
Date_2017-05-18,1.6832326491480026e-07,1.6832326491480026e-07
Date_2013-10-10,1.682483740510045e-07,1.682483740510045e-07
Date_2010-11-26,-1.6803403513322198e-07,1.6803403513322198e-07
Date_2020-04-03,1.6739055047964323e-07,1.6739055047964323e-07
Date_2015-04-30,1.6734774898116176e-07,1.6734774898116176e-07
Date_2015-01-03,-1.6718862532110182e-07,1.6718862532110182e-07
Date_2013-08-08,1.670256796972047e-07,1.670256796972047e-07
Date_2015-04-22,-1.670141514720966e-07,1.670141514720966e-07
Date_2022-03-16,-1.6698712958339307e-07,1.6698712958339307e-07
Date_2017-04-17,1.6676727360620715e-07,1.6676727360620715e-07
Date_2021-04-01,-1.667549035285427e-07,1.667549035285427e-07
Date_2018-02-17,-1.667007613590655e-07,1.667007613590655e-07
Date_2014-05-20,-1.6663159795307896e-07,1.6663159795307896e-07
Date_2013-04-02,1.6654719520166238e-07,1.6654719520166238e-07
Date_2018-11-22,-1.6637305414401872e-07,1.6637305414401872e-07
Date_2021-07-30,1.656690643420213e-07,1.656690643420213e-07
Date_2018-09-04,1.656551846517073e-07,1.656551846517073e-07
Date_2021-01-22,1.6548658116842778e-07,1.6548658116842778e-07
Date_2011-07-22,-1.65362000022452e-07,1.65362000022452e-07
Date_2016-12-12,-1.652857242858255e-07,1.652857242858255e-07
Date_2016-06-30,1.6524943301821453e-07,1.6524943301821453e-07
Date_2018-06-23,-1.6508460035563203e-07,1.6508460035563203e-07
Date_2020-04-27,-1.648433659625933e-07,1.648433659625933e-07
Date_2012-12-19,-1.6468935666777954e-07,1.6468935666777954e-07
Date_2016-02-22,1.6441749204644678e-07,1.6441749204644678e-07
Date_2019-06-22,1.6428128980663747e-07,1.6428128980663747e-07
Date_2012-05-20,-1.6416737041784213e-07,1.6416737041784213e-07
Date_2011-02-10,-1.6399996537415287e-07,1.6399996537415287e-07
Date_2012-07-09,-1.6394233058973603e-07,1.6394233058973603e-07
Date_2014-12-01,1.6351787678205996e-07,1.6351787678205996e-07
Date_2021-02-22,-1.6350132291120637e-07,1.6350132291120637e-07
Date_2012-07-03,1.6327874951861967e-07,1.6327874951861967e-07
Date_2012-06-21,-1.632465699542495e-07,1.632465699542495e-07
Date_2013-08-24,1.6299412469131614e-07,1.6299412469131614e-07
Date_2014-01-24,1.6275433494151375e-07,1.6275433494151375e-07
Date_2013-02-21,-1.62437285330361e-07,1.62437285330361e-07
Date_2021-03-10,-1.6206828617399496e-07,1.6206828617399496e-07
Date_2021-02-02,1.619317972343501e-07,1.619317972343501e-07
Date_2010-08-24,-1.6182655363894448e-07,1.6182655363894448e-07
Date_2019-12-25,-1.6180714227168569e-07,1.6180714227168569e-07
Date_2020-07-07,-1.6175298205257935e-07,1.6175298205257935e-07
Date_2013-09-26,1.6155992503301953e-07,1.6155992503301953e-07
Date_2020-06-09,1.6153238713519037e-07,1.6153238713519037e-07
Date_2022-07-13,-1.613899715585897e-07,1.613899715585897e-07
Date_2018-08-20,1.61354353254635e-07,1.61354353254635e-07
Date_2016-08-08,1.6112776180139766e-07,1.6112776180139766e-07
Date_2018-07-20,1.6086423650485253e-07,1.6086423650485253e-07
Date_2012-12-12,-1.60648453420324e-07,1.60648453420324e-07
Date_2014-04-10,-1.6064762915564201e-07,1.6064762915564201e-07
Date_2020-07-01,1.6038206505840254e-07,1.6038206505840254e-07
Date_2022-09-15,-1.603460302396186e-07,1.603460302396186e-07
Date_2022-07-16,-1.6029740915076104e-07,1.6029740915076104e-07
Date_2022-02-03,1.6026247571300225e-07,1.6026247571300225e-07
Date_2014-10-18,1.6022313965451114e-07,1.6022313965451114e-07
Date_2014-11-08,1.6001881770652884e-07,1.6001881770652884e-07
Date_2012-10-05,1.5988781751364198e-07,1.5988781751364198e-07
Date_2018-10-10,1.5971823217433055e-07,1.5971823217433055e-07
Date_2011-01-16,-1.5964288276456536e-07,1.5964288276456536e-07
Date_2015-08-18,-1.5959370921239057e-07,1.5959370921239057e-07
Date_2018-10-02,-1.5943055746689862e-07,1.5943055746689862e-07
Date_2018-03-29,1.5931420600489778e-07,1.5931420600489778e-07
Date_2012-03-15,-1.592466664091291e-07,1.592466664091291e-07
Date_2015-11-12,-1.590996195969612e-07,1.590996195969612e-07
Date_2016-07-04,1.590047486256756e-07,1.590047486256756e-07
Date_2015-06-11,1.5899769323995856e-07,1.5899769323995856e-07
Date_2022-06-26,-1.5867984795672055e-07,1.5867984795672055e-07
Date_2020-09-26,1.586295186153916e-07,1.586295186153916e-07
Date_2022-11-16,-1.5860607520364365e-07,1.5860607520364365e-07
Date_2014-03-26,-1.584793760093948e-07,1.584793760093948e-07
Date_2016-01-20,1.5847465691102082e-07,1.5847465691102082e-07
Date_2020-01-08,1.5838018268766088e-07,1.5838018268766088e-07
Date_2014-01-14,-1.5836474690342452e-07,1.5836474690342452e-07
Date_2012-11-07,1.58182247574416e-07,1.58182247574416e-07
Date_2021-02-16,-1.5786691489565383e-07,1.5786691489565383e-07
Date_2020-08-31,-1.5754550403035576e-07,1.5754550403035576e-07
Date_2011-10-29,-1.5749106346809935e-07,1.5749106346809935e-07
Date_2015-04-05,-1.5746169156300073e-07,1.5746169156300073e-07
Date_2018-03-10,-1.5745630519381858e-07,1.5745630519381858e-07
Date_2018-04-18,1.5744963930628678e-07,1.5744963930628678e-07
Date_2013-11-07,1.5742567508535809e-07,1.5742567508535809e-07
Date_2022-08-10,-1.573205219809512e-07,1.573205219809512e-07
Date_2016-12-20,1.571720416118276e-07,1.571720416118276e-07
Date_2014-08-14,1.571171182236641e-07,1.571171182236641e-07
Date_2019-01-20,-1.5696268262901123e-07,1.5696268262901123e-07
Date_2018-02-02,-1.5665417115301325e-07,1.5665417115301325e-07
Date_2018-06-28,-1.5653534229075064e-07,1.5653534229075064e-07
Date_2014-10-04,-1.5647077314292116e-07,1.5647077314292116e-07
Date_2017-07-23,-1.5643450516045188e-07,1.5643450516045188e-07
Date_2019-12-18,-1.5622934724647897e-07,1.5622934724647897e-07
Date_2010-07-25,-1.5609277352035316e-07,1.5609277352035316e-07
Date_2017-03-08,1.5591691965428523e-07,1.5591691965428523e-07
Date_2014-02-26,-1.556728884483911e-07,1.556728884483911e-07
Date_2023-01-22,-1.5564148589250067e-07,1.5564148589250067e-07
Date_2012-09-21,-1.5562677500590887e-07,1.5562677500590887e-07
Date_2013-07-29,1.5544879015047692e-07,1.5544879015047692e-07
Date_2021-12-22,-1.554177074650658e-07,1.554177074650658e-07
Date_2022-06-03,-1.5515181947022723e-07,1.5515181947022723e-07
Date_2014-03-28,-1.546354281594677e-07,1.546354281594677e-07
Date_2010-12-15,-1.544818853150283e-07,1.544818853150283e-07
Date_2019-09-29,1.5433604327649322e-07,1.5433604327649322e-07
Date_2015-06-04,1.54147230289745e-07,1.54147230289745e-07
Date_2016-06-18,-1.5379018808876783e-07,1.5379018808876783e-07
Date_2016-04-07,-1.536900290704164e-07,1.536900290704164e-07
Date_2011-08-24,-1.5353724374913665e-07,1.5353724374913665e-07
Date_2021-07-01,-1.535350005723901e-07,1.535350005723901e-07
Date_2021-09-16,-1.5349472383122388e-07,1.5349472383122388e-07
Date_2012-10-09,1.5327678558736752e-07,1.5327678558736752e-07
Date_2017-12-15,1.5318706186134022e-07,1.5318706186134022e-07
Date_2017-09-16,-1.531778362684163e-07,1.531778362684163e-07
Date_2018-03-25,-1.5296243522245786e-07,1.5296243522245786e-07
Date_2022-11-30,-1.5260178959360806e-07,1.5260178959360806e-07
Date_2013-08-01,-1.5259678232571146e-07,1.5259678232571146e-07
Date_2017-01-16,1.523030823984388e-07,1.523030823984388e-07
Date_2015-05-31,-1.522858133165367e-07,1.522858133165367e-07
Date_2012-11-10,1.5208710083524616e-07,1.5208710083524616e-07
Date_2022-06-06,1.5195815331644348e-07,1.5195815331644348e-07
Date_2010-10-20,1.5181608948311037e-07,1.5181608948311037e-07
Date_2010-08-07,1.5160391979804354e-07,1.5160391979804354e-07
Date_2019-03-10,1.5156949558967392e-07,1.5156949558967392e-07
Date_2018-08-27,-1.513939964669736e-07,1.513939964669736e-07
Date_2021-02-08,1.5137564090504884e-07,1.5137564090504884e-07
Date_2020-02-15,1.5120668578107434e-07,1.5120668578107434e-07
Date_2020-09-11,-1.5118129472522923e-07,1.5118129472522923e-07
Date_2019-01-09,-1.5106734156232342e-07,1.5106734156232342e-07
Date_2015-05-27,-1.510469034551555e-07,1.510469034551555e-07
Date_2020-04-10,1.5096446757340631e-07,1.5096446757340631e-07
Date_2019-06-15,-1.508948484162373e-07,1.508948484162373e-07
Date_2016-01-26,-1.5047071490813798e-07,1.5047071490813798e-07
Date_2012-06-16,1.5044811767979788e-07,1.5044811767979788e-07
Date_2021-10-12,1.5044431668602136e-07,1.5044431668602136e-07
Date_2018-06-24,-1.504386099974118e-07,1.504386099974118e-07
Date_2017-09-28,-1.5007390516973936e-07,1.5007390516973936e-07
Date_2022-07-30,-1.5003864200395174e-07,1.5003864200395174e-07
Date_2012-09-16,-1.4981694264364692e-07,1.4981694264364692e-07
Date_2013-01-07,1.495587676405824e-07,1.495587676405824e-07
Date_2013-11-30,1.4951635501895357e-07,1.4951635501895357e-07
Date_2011-12-12,1.495002856685865e-07,1.495002856685865e-07
Date_2020-10-20,1.4944221769399595e-07,1.4944221769399595e-07
Date_2014-06-23,-1.4938374247143032e-07,1.4938374247143032e-07
Date_2013-02-14,-1.492700347902919e-07,1.492700347902919e-07
Date_2022-06-16,1.4926106504262466e-07,1.4926106504262466e-07
Date_2018-09-05,1.4921452183411883e-07,1.4921452183411883e-07
Date_2020-11-19,1.4914173012995505e-07,1.4914173012995505e-07
Date_2022-02-22,-1.4911849737931096e-07,1.4911849737931096e-07
Date_2018-01-23,-1.4894198491971648e-07,1.4894198491971648e-07
Date_2014-10-15,-1.4888387111216707e-07,1.4888387111216707e-07
Date_2020-09-27,1.4887268216831598e-07,1.4887268216831598e-07
Date_2012-02-06,-1.4883328110717982e-07,1.4883328110717982e-07
Date_2019-01-10,1.4846493993650566e-07,1.4846493993650566e-07
Date_2010-10-22,-1.4830433282396172e-07,1.4830433282396172e-07
Date_2018-12-29,1.4825436509489546e-07,1.4825436509489546e-07
Date_2013-06-02,-1.4813140888070935e-07,1.4813140888070935e-07
Date_2017-09-03,1.4802014074996898e-07,1.4802014074996898e-07
Date_2017-02-05,1.4785788224121232e-07,1.4785788224121232e-07
Date_2021-12-28,-1.4763357899929926e-07,1.4763357899929926e-07
Date_2016-07-18,-1.4722224263125236e-07,1.4722224263125236e-07
Date_2015-07-12,1.4721619650701974e-07,1.4721619650701974e-07
Date_2014-03-13,1.4721357160044087e-07,1.4721357160044087e-07
Date_2012-12-22,1.4719245613183647e-07,1.4719245613183647e-07
Date_2018-08-16,1.4718115828540605e-07,1.4718115828540605e-07
Date_2020-03-05,1.471702716995734e-07,1.471702716995734e-07
Date_2015-07-16,-1.4686007815161273e-07,1.4686007815161273e-07
Date_2021-04-13,1.468178090144834e-07,1.468178090144834e-07
Date_2014-06-27,1.467004087837673e-07,1.467004087837673e-07
Date_2020-11-08,1.4669990160443323e-07,1.4669990160443323e-07
Date_2018-12-28,-1.4667652424253068e-07,1.4667652424253068e-07
Date_2013-01-16,1.465628768253993e-07,1.465628768253993e-07
Date_2015-06-13,1.4650602854282006e-07,1.4650602854282006e-07
Date_2013-11-24,-1.4641758932052979e-07,1.4641758932052979e-07
Date_2011-04-05,-1.4640663588810565e-07,1.4640663588810565e-07
Date_2018-04-28,1.461893849608609e-07,1.461893849608609e-07
Date_2013-01-26,-1.4605087721706762e-07,1.4605087721706762e-07
Date_2022-03-10,1.4581870902651956e-07,1.4581870902651956e-07
Date_2022-12-24,-1.4571466116364644e-07,1.4571466116364644e-07
Date_2017-01-01,-1.455944529635885e-07,1.455944529635885e-07
Date_2017-08-14,-1.454381764415624e-07,1.454381764415624e-07
Date_2023-01-16,1.4531686276698577e-07,1.4531686276698577e-07
Date_2022-10-08,-1.451363393413108e-07,1.451363393413108e-07
Date_2020-10-22,-1.4513093238174144e-07,1.4513093238174144e-07
Date_2015-10-18,-1.4460812293056933e-07,1.4460812293056933e-07
Date_2012-08-13,-1.4448078302724507e-07,1.4448078302724507e-07
Date_2021-04-27,1.4406619072017337e-07,1.4406619072017337e-07
Date_2021-03-23,-1.439645485004691e-07,1.439645485004691e-07
Date_2022-02-12,1.4385243434076627e-07,1.4385243434076627e-07
Date_2015-08-09,1.4378019963977898e-07,1.4378019963977898e-07
Date_2013-11-18,-1.434813678151905e-07,1.434813678151905e-07
Date_2017-12-08,-1.4345540616377972e-07,1.4345540616377972e-07
Date_2010-12-25,-1.4335585344383677e-07,1.4335585344383677e-07
Date_2012-12-24,1.4327787150319038e-07,1.4327787150319038e-07
Date_2018-03-17,1.4318913334312453e-07,1.4318913334312453e-07
Date_2012-03-09,1.431107634767136e-07,1.431107634767136e-07
Date_2018-04-19,1.4309827072681187e-07,1.4309827072681187e-07
Date_2022-10-02,-1.4304506651588359e-07,1.4304506651588359e-07
Date_2013-06-01,-1.4300111843543836e-07,1.4300111843543836e-07
Date_2015-07-31,-1.4271021074920253e-07,1.4271021074920253e-07
Date_2022-06-05,-1.4269501707668227e-07,1.4269501707668227e-07
Date_2020-04-06,1.4267280188787414e-07,1.4267280188787414e-07
Date_2017-08-11,1.4264207541294854e-07,1.4264207541294854e-07
Date_2015-04-04,-1.4256079879940617e-07,1.4256079879940617e-07
Date_2019-12-14,1.4252911036324295e-07,1.4252911036324295e-07
Date_2021-03-09,1.4241248294266558e-07,1.4241248294266558e-07
Date_2019-05-19,-1.423626331933766e-07,1.423626331933766e-07
Date_2013-08-18,-1.4207453768833425e-07,1.4207453768833425e-07
Date_2016-10-15,-1.4199711787641623e-07,1.4199711787641623e-07
Date_2013-02-15,-1.4191736533152074e-07,1.4191736533152074e-07
Date_2021-12-20,-1.4185976620456873e-07,1.4185976620456873e-07
Date_2019-06-19,1.4185352826579624e-07,1.4185352826579624e-07
Date_2019-10-30,-1.4179406413153268e-07,1.4179406413153268e-07
Date_2019-07-13,1.4160400232655847e-07,1.4160400232655847e-07
Date_2021-05-30,1.415336906862996e-07,1.415336906862996e-07
Date_2012-06-10,-1.4151534900781047e-07,1.4151534900781047e-07
Date_2013-03-06,1.4150546444466846e-07,1.4150546444466846e-07
Date_2015-11-26,-1.4136815165625346e-07,1.4136815165625346e-07
Date_2013-11-04,-1.4135649264663392e-07,1.4135649264663392e-07
Date_2011-12-09,-1.4128271175212764e-07,1.4128271175212764e-07
Date_2022-11-07,1.4098414706822672e-07,1.4098414706822672e-07
Date_2021-04-24,1.4085264898489663e-07,1.4085264898489663e-07
Date_2014-03-22,1.4084812790718936e-07,1.4084812790718936e-07
Date_2021-03-22,1.4078068721295777e-07,1.4078068721295777e-07
Date_2022-10-22,1.4072258706153498e-07,1.4072258706153498e-07
Date_2020-03-13,1.4068984562243284e-07,1.4068984562243284e-07
Date_2019-10-07,-1.4056529330679718e-07,1.4056529330679718e-07
Date_2013-10-06,-1.4052274961726463e-07,1.4052274961726463e-07
Date_2018-02-03,1.4048553209015964e-07,1.4048553209015964e-07
Date_2019-04-13,1.4043675434414995e-07,1.4043675434414995e-07
Date_2019-03-17,1.4028264832606934e-07,1.4028264832606934e-07
Date_2013-12-29,-1.4009466119431513e-07,1.4009466119431513e-07
Date_2019-11-24,1.398558456439063e-07,1.398558456439063e-07
Date_2018-07-27,1.3984187198508875e-07,1.3984187198508875e-07
Date_2013-10-21,1.3942985290434576e-07,1.3942985290434576e-07
Date_2011-03-25,-1.3938198020904858e-07,1.3938198020904858e-07
Date_2017-02-21,1.3937304681768264e-07,1.3937304681768264e-07
Date_2015-05-01,1.393333179710142e-07,1.393333179710142e-07
Date_2020-01-23,-1.392784136817327e-07,1.392784136817327e-07
Date_2012-10-22,1.3923190820609018e-07,1.3923190820609018e-07
Date_2018-08-25,-1.388845412645255e-07,1.388845412645255e-07
Date_2014-10-30,1.3877881394746764e-07,1.3877881394746764e-07
Date_2022-07-25,1.3872387120244958e-07,1.3872387120244958e-07
Date_2016-03-20,-1.3870857517826147e-07,1.3870857517826147e-07
Date_2012-09-03,-1.3870478014526588e-07,1.3870478014526588e-07
Date_2012-12-25,-1.3868394476365627e-07,1.3868394476365627e-07
Date_2021-12-12,1.3864118689304498e-07,1.3864118689304498e-07
Date_2017-03-28,1.3853167636292535e-07,1.3853167636292535e-07
Date_2019-02-02,-1.3850154782374836e-07,1.3850154782374836e-07
Date_2019-08-25,1.3834502405406724e-07,1.3834502405406724e-07
Date_2021-06-26,1.379855877513903e-07,1.379855877513903e-07
Date_2013-02-13,-1.379581482346102e-07,1.379581482346102e-07
Date_2015-02-21,-1.3793533417026746e-07,1.3793533417026746e-07
Date_2013-09-19,-1.3793336503736116e-07,1.3793336503736116e-07
Date_2020-06-03,1.3790765448545905e-07,1.3790765448545905e-07
Date_2014-08-24,1.378509110741376e-07,1.378509110741376e-07
