customerID,tenure,MonthlyCharges,TotalCharges,Anomaly_Label
0835-JKADZ,71,111.25,7984.15,Anomaly
3865-YIOTT,72,106.1,7848.5,Anomaly
6024-RUGGH,72,25.2,1798.9,Anomaly
5787-KXGIY,72,19.3,1304.8,Anomaly
3261-CQXOL,71,25.45,1813.35,Anomaly
8165-ZJRNM,72,23.75,1679.25,Anomaly
2545-LXYVJ,72,20.7,1492.1,Anomaly
6445-TNRXS,68,114.7,7849.85,Anomaly
4829-ZLJTK,72,112.4,8046.85,Anomaly
4361-BKAXE,41,114.5,4527.45,Anomaly
1779-PWPMG,72,114.65,8333.95,Anomaly
1282-IHQAC,70,44.05,3011.65,Anomaly
9127-FHJBZ,72,114.0,8093.15,Anomaly
3992-YWPKO,6,109.9,669.45,Anomaly
7115-IRDHS,72,24.65,1830.05,Anomaly
8480-PPONV,62,115.55,7159.05,Anomaly
2388-LAESQ,72,114.85,8317.95,Anomaly
1291-CUOCY,72,110.6,7962.2,Anomaly
0201-OAMXR,70,115.55,8127.6,Anomaly
3910-MRQOY,72,19.4,1496.45,Anomaly
7722-VJRQD,72,60.95,4549.05,Anomaly
7130-YXBRO,48,111.45,5315.1,Anomaly
0562-KBDVM,70,44.6,3058.15,Anomaly
7684-XSZIY,72,24.3,1643.25,Anomaly
3870-SPZSI,70,113.05,7869.05,Anomaly
5514-YQENT,41,111.15,4507.15,Anomaly
0640-YJTPY,72,21.0,1493.75,Anomaly
2429-AYKKO,72,19.85,1434.1,Anomaly
3292-PBZEJ,11,111.4,1183.05,Anomaly
3584-WKTTW,51,111.55,5720.35,Anomaly
4999-IEZLT,66,29.45,1983.15,Anomaly
9659-QEQSY,45,115.65,5125.5,Anomaly
9158-VCTQB,41,113.6,4594.95,Anomaly
4836-WNFNO,72,25.0,1849.2,Anomaly
7359-WWYJV,72,114.45,8375.05,Anomaly
0404-AHASP,72,19.7,1421.9,Anomaly
2081-VEYEH,3,107.95,318.6,Anomaly
2040-XBAVJ,72,114.45,8100.55,Anomaly
3963-RYFNS,72,116.45,8013.55,Anomaly
1320-REHCS,52,110.75,5832.0,Anomaly
3669-WHAFY,71,115.15,8078.1,Anomaly
7279-BUYWN,41,113.2,4689.5,Anomaly
5605-XNWEN,72,25.0,1802.55,Anomaly
6181-AXXYF,72,24.75,1859.1,Anomaly
4193-IBKSW,72,24.75,1769.6,Anomaly
1927-QEWMY,72,20.5,1502.25,Anomaly
0794-YVSGE,72,20.3,1401.15,Anomaly
4115-UMJFQ,69,35.75,2492.25,Anomaly
7010-BRBUU,72,24.1,1734.65,Anomaly
9637-CDTKZ,72,114.1,8086.4,Anomaly
7409-JURKQ,53,111.8,5809.75,Anomaly
1488-PBLJN,72,116.85,8477.7,Anomaly
4872-JCVCA,71,47.6,3377.8,Anomaly
8984-HPEMB,71,118.65,8477.6,Anomaly
8894-JVDCV,62,115.05,7133.45,Anomaly
8879-XUAHX,71,116.25,8564.75,Anomaly
4312-GVYNH,70,49.85,3370.2,Anomaly
8069-RHUXK,67,35.7,2545.7,Anomaly
7181-BQYBV,1,102.45,102.45,Anomaly
7176-WRTNX,70,114.95,7711.25,Anomaly
1583-IHQZE,12,112.95,1384.75,Anomaly
9239-GZHZE,72,113.65,8124.2,Anomaly
5334-AFQJB,72,25.1,1789.9,Anomaly
2266-SJNAT,72,109.15,7789.6,Anomaly
4304-TSPVK,68,114.9,7843.55,Anomaly
6650-BWFRT,72,117.15,8529.5,Anomaly
6993-YGFJV,69,112.55,7806.5,Anomaly
0013-SMEOE,71,109.7,7904.25,Anomaly
6734-GMPVK,5,105.3,550.6,Anomaly
3893-JRNFS,68,39.9,2796.35,Anomaly
5236-PERKL,57,112.95,6465.0,Anomaly
9802-CAQUT,72,109.55,7887.25,Anomaly
7602-MVRMB,72,110.45,8058.85,Anomaly
6585-WCEWR,72,20.35,1354.4,Anomaly
9067-YGSCA,70,26.05,1856.4,Anomaly
8735-SDUFN,72,24.3,1778.7,Anomaly
1926-QUZNN,72,25.25,1841.2,Anomaly
8869-LIHMK,64,115.1,7334.05,Anomaly
0784-ZQJZX,72,19.9,1529.65,Anomaly
8670-ERCJH,72,113.4,8164.1,Anomaly
7055-JCGNI,70,111.95,7795.95,Anomaly
0739-UUAJR,72,53.8,3952.45,Anomaly
8263-QMNTJ,72,115.55,8425.3,Anomaly
8237-ULIXL,72,24.85,1871.85,Anomaly
5945-AZYHT,71,109.6,7854.15,Anomaly
0164-APGRB,72,114.9,8496.7,Anomaly
3336-JORSO,33,110.45,3655.45,Anomaly
0907-HQNTS,70,113.0,7987.6,Anomaly
8454-AATJP,72,115.05,8405.0,Anomaly
8628-MFKAX,72,116.75,8277.05,Anomaly
3976-HXHCE,72,19.3,1414.8,Anomaly
5472-CVMDX,68,38.9,2719.2,Anomaly
4231-LZUYM,72,25.65,1887.0,Anomaly
1229-RCALF,64,115.0,7396.15,Anomaly
9838-BFCQT,72,26.1,1851.45,Anomaly
5013-SBUIH,50,109.65,5551.15,Anomaly
0536-ACXIP,72,109.55,8165.1,Anomaly
7923-IYJWY,67,116.1,7839.85,Anomaly
0106-UGRDO,69,116.0,8182.85,Anomaly
7740-BTPUX,55,113.6,6292.7,Anomaly
2249-YPRNG,20,105.85,2239.65,Anomaly
7663-CUXZB,59,113.75,6561.25,Anomaly
5598-IKHQQ,72,25.45,1866.45,Anomaly
9786-IJYDL,35,113.2,3914.05,Anomaly
6295-OSINB,72,109.65,7880.25,Anomaly
4702-HDRKD,67,49.35,3321.35,Anomaly
5052-PNLOS,3,105.35,323.25,Anomaly
5038-ETMLM,72,113.65,8182.75,Anomaly
2253-KPMNB,69,46.25,3121.4,Anomaly
1814-WFGVS,72,48.9,3527.0,Anomaly
3810-DVDQQ,72,117.6,8308.9,Anomaly
8853-TZDGH,72,111.6,8012.75,Anomaly
0464-WJTKO,72,20.1,1460.85,Anomaly
4282-MSACW,68,117.2,8035.95,Anomaly
0136-IFMYD,69,109.95,7634.25,Anomaly
6285-FTQBF,72,25.55,1867.7,Anomaly
4806-DXQCE,70,113.65,7714.65,Anomaly
4176-FXYBO,54,109.55,6118.95,Anomaly
9430-NKQLY,72,25.1,1790.8,Anomaly
2368-GAKKQ,70,113.65,7939.25,Anomaly
0378-CJKPV,72,112.1,7965.95,Anomaly
1053-MXTTK,72,108.65,7726.35,Anomaly
2560-QTSBS,72,23.3,1623.15,Anomaly
3258-SYSWS,72,113.8,7845.8,Anomaly
5296-PSYVW,72,24.55,1750.7,Anomaly
0174-QRVVY,71,25.35,1847.55,Anomaly
2587-EKXTS,44,111.5,4915.15,Anomaly
7134-HBPBS,72,108.1,7774.05,Anomaly
9351-HXDMR,72,110.9,8240.85,Anomaly
1725-IQNIY,54,109.75,6110.2,Anomaly
9481-IEBZY,72,112.9,8061.5,Anomaly
3932-CMDTD,4,105.65,443.9,Anomaly
6710-HSJRD,61,114.1,7132.15,Anomaly
5854-KSRBJ,70,25.4,1782.05,Anomaly
2403-BCASL,41,111.95,4534.9,Anomaly
2223-GDSHL,71,116.05,8297.5,Anomaly
3786-WOVKF,72,106.85,7677.4,Anomaly
3886-CERTZ,72,109.25,8109.8,Anomaly
5989-AXPUC,68,118.6,7990.05,Anomaly
8015-IHCGW,72,115.5,8425.15,Anomaly
8261-GWDBQ,60,116.05,6925.9,Anomaly
3882-IYOIJ,60,115.25,6758.45,Anomaly
8749-TZYEC,72,24.8,1874.3,Anomaly
9861-PDSZP,72,108.05,7806.6,Anomaly
8915-NNTRC,72,107.7,7919.8,Anomaly
7463-IFMQU,72,20.05,1423.65,Anomaly
5884-FBCTL,72,25.1,1857.85,Anomaly
2607-DHDAK,72,19.8,1414.65,Anomaly
0266-GMEAO,72,114.3,8058.55,Anomaly
8309-PPCED,72,110.45,7982.5,Anomaly
7980-MHFLQ,72,24.9,1859.2,Anomaly
3836-FZSDJ,71,24.85,1901.0,Anomaly
6559-ILWKJ,71,49.35,3515.25,Anomaly
6904-JLBGY,72,117.35,8436.25,Anomaly
7030-FZTFM,72,110.9,7922.75,Anomaly
0906-QVPMS,72,115.15,8349.45,Anomaly
2961-VNFKL,71,25.95,1801.9,Anomaly
1166-PQLGG,72,19.55,1463.45,Anomaly
0017-IUDMW,72,116.8,8456.75,Anomaly
9031-ZVQPT,72,108.2,7840.6,Anomaly
6480-YAGIY,45,112.2,5031.85,Anomaly
5451-YHYPW,72,115.75,8443.7,Anomaly
8207-VVMYB,70,26.0,2006.95,Anomaly
2121-JAFOM,72,115.55,8312.4,Anomaly
2931-SVLTV,40,110.1,4469.1,Anomaly
5324-KTGCG,71,20.85,1539.75,Anomaly
5743-KHMNA,71,25.55,1898.1,Anomaly
3244-CQPHU,72,110.1,7746.7,Anomaly
9896-UYMIE,66,114.3,7383.7,Anomaly
5227-JSCFE,71,46.35,3353.4,Anomaly
0442-ZXKVS,54,115.6,6431.05,Anomaly
6917-FIJHC,72,26.0,1776.0,Anomaly
4625-XMOYM,72,26.25,1988.05,Anomaly
5914-XRFQB,72,115.8,8424.9,Anomaly
4329-YPDDQ,20,108.2,2203.7,Anomaly
5322-TEUJK,71,114.6,8100.25,Anomaly
6855-VLGOS,72,20.55,1432.55,Anomaly
7569-NMZYQ,72,118.75,8672.45,Anomaly
1741-WTPON,56,115.85,6567.9,Anomaly
2889-FPWRM,72,117.8,8684.8,Anomaly
0626-QXNGV,72,24.15,1776.45,Anomaly
8513-OLYGY,72,115.8,8332.15,Anomaly
3680-CTHUH,60,116.6,7049.5,Anomaly
1820-DJFPH,72,24.05,1709.15,Anomaly
5172-RKOCB,72,108.95,7875.0,Anomaly
3884-UEBXB,67,36.15,2434.45,Anomaly
8024-XNAFQ,72,107.4,7748.75,Anomaly
9356-AXGMP,38,110.7,4428.6,Anomaly
2192-CKRLV,72,49.2,3580.95,Anomaly
9298-WGMRW,72,115.5,8312.75,Anomaly
8544-JNBOX,72,20.8,1521.2,Anomaly
8224-KDLKN,72,25.0,1738.9,Anomaly
1043-UXOVO,71,113.15,7993.3,Anomaly
6749-UTDVX,72,103.65,7634.8,Anomaly
3892-NXAZG,72,114.05,8289.2,Anomaly
5734-EJKXG,61,118.6,7365.7,Anomaly
9695-IDRZR,34,116.15,3946.9,Anomaly
3389-YGYAI,8,105.5,829.55,Anomaly
9475-NNDGC,71,113.15,7953.25,Anomaly
2302-ANTDP,48,117.45,5438.9,Anomaly
5304-EFJLP,72,111.65,8022.85,Anomaly
9746-MDMBK,47,113.45,5317.8,Anomaly
8242-PDSGJ,70,39.15,2692.75,Anomaly
2272-WUSPA,72,110.75,7751.7,Anomaly
1987-AUELQ,71,25.05,1873.7,Anomaly
8920-NAVAY,62,110.75,7053.35,Anomaly
0567-XRHCU,69,43.95,2960.1,Anomaly
0052-DCKON,66,115.8,7942.15,Anomaly
3528-HFRIQ,71,52.3,3765.05,Anomaly
2599-CIPQE,71,109.3,7782.85,Anomaly
8774-GSBUN,72,25.4,1797.1,Anomaly
0254-FNMCI,72,109.9,7624.2,Anomaly
9070-BCKQP,72,110.15,7881.2,Anomaly
9258-CNWAC,71,113.65,8166.8,Anomaly
8199-ZLLSA,67,118.35,7804.15,Anomaly
8016-NCFVO,55,116.5,6382.55,Anomaly
8092-NLTGF,72,24.75,1777.6,Anomaly
7096-ZNBZI,72,26.45,1914.5,Anomaly
7566-DSRLQ,72,110.15,7998.8,Anomaly
7245-JMTTQ,51,111.5,5703.25,Anomaly
8591-TKMZH,59,111.1,6555.2,Anomaly
1841-YSJGV,72,109.95,7852.4,Anomaly
3511-BFTJW,72,38.5,2763.0,Anomaly
4393-GEADV,70,114.75,7842.3,Anomaly
1409-PHXTF,54,110.45,6077.75,Anomaly
9309-BZGNT,69,29.8,2134.3,Anomaly
0394-YONDK,70,25.15,1790.15,Anomaly
3642-GKTCT,61,115.1,6993.65,Anomaly
9866-OCCKE,72,109.75,8075.35,Anomaly
9788-HNGUT,72,116.95,8594.4,Anomaly
5375-XLDOF,69,114.35,7665.8,Anomaly
3810-PJUHR,70,25.35,1715.15,Anomaly
7929-SKFGK,70,114.3,8244.3,Anomaly
6010-DDPPW,70,25.15,1940.85,Anomaly
8029-XYPWT,71,115.05,8016.6,Anomaly
0675-NCDYU,72,116.4,8543.25,Anomaly
5271-YNWVR,68,113.15,7856.0,Anomaly
1984-FCOWB,70,109.5,7674.55,Anomaly
0795-XCCTE,72,25.4,1809.35,Anomaly
6297-NOOPG,70,110.5,7752.05,Anomaly
8707-HOEDG,70,110.2,7689.8,Anomaly
8882-TLVRW,69,39.1,2779.5,Anomaly
5135-GRQJV,72,114.5,8331.95,Anomaly
7480-SPLEF,69,26.0,1796.55,Anomaly
1162-ECVII,72,109.75,7932.5,Anomaly
2419-FSORS,72,108.4,7719.5,Anomaly
8099-MZPUJ,48,111.8,5443.65,Anomaly
3396-DKDEL,70,115.15,8250.0,Anomaly
9066-QRSDU,69,26.3,1763.55,Anomaly
0402-OAMEN,72,24.45,1709.1,Anomaly
7136-RVDTZ,70,45.25,3264.45,Anomaly
4118-CEVPF,35,110.8,3836.3,Anomaly
1635-NZATJ,71,25.45,1789.65,Anomaly
5183-KLYEM,72,112.75,8192.6,Anomaly
2193-SFWQW,72,111.95,8033.1,Anomaly
1555-DJEQW,70,114.2,7723.9,Anomaly
0613-WUXUM,70,19.2,1401.4,Anomaly
8085-MSNLK,62,113.95,6891.4,Anomaly
7110-BDTWG,71,47.05,3263.6,Anomaly
9249-FXSCK,52,111.25,5916.45,Anomaly
3831-YCPUO,72,109.5,7854.9,Anomaly
9924-JPRMC,72,118.2,8547.15,Anomaly
3726-TBHQT,71,114.0,8175.9,Anomaly
8901-UPRHR,72,109.2,7711.45,Anomaly
4789-KWMXN,47,110.85,5275.8,Anomaly
8265-HKSOW,72,107.45,7658.3,Anomaly
4476-OSWTN,69,110.55,7610.1,Anomaly
9053-JZFKV,67,116.2,7752.3,Anomaly
0864-FVJNJ,64,113.35,7222.75,Anomaly
0186-CAERR,71,116.3,8309.55,Anomaly
2169-RRLFW,71,25.6,1888.25,Anomaly
0848-SOMKO,70,48.4,3442.8,Anomaly
1293-BSEUN,72,20.7,1482.3,Anomaly
3258-ZKPAI,72,116.6,8337.45,Anomaly
6519-ZHPXP,72,108.3,7679.65,Anomaly
9610-WCESF,67,43.9,3097.2,Anomaly
0480-KYJVA,72,24.25,1784.5,Anomaly
6034-ZRYCV,72,54.2,3937.45,Anomaly
4868-AADLV,66,116.25,7862.25,Anomaly
3518-FSTWG,72,109.55,7920.7,Anomaly
5419-JPRRN,1,101.45,101.45,Anomaly
1444-VVSGW,70,115.65,7968.85,Anomaly
3795-CAWEX,70,116.55,8152.3,Anomaly
4909-JOUPP,72,109.7,7898.45,Anomaly
3704-IEAXF,72,53.65,3784.0,Anomaly
4670-TABXH,72,109.75,7758.9,Anomaly
2452-MRMZF,72,25.7,1937.4,Anomaly
2509-TFPJU,72,25.75,1864.2,Anomaly
2380-DAMQP,72,115.15,8349.7,Anomaly
9739-JLPQJ,72,117.5,8670.1,Anomaly
5893-KCLGT,72,19.75,1567.0,Anomaly
3090-HAWSU,61,111.6,6876.05,Anomaly
1320-GVNHT,72,108.4,7767.25,Anomaly
8071-SBTRN,70,111.15,7737.55,Anomaly
4707-MAXGU,72,25.85,1872.2,Anomaly
9079-YEXQJ,54,111.1,6014.85,Anomaly
3508-CFVZL,71,111.3,7985.9,Anomaly
6976-BWGLQ,72,25.2,1787.35,Anomaly
1400-MMYXY,3,105.9,334.65,Anomaly
0530-IJVDB,70,114.6,7882.5,Anomaly
6664-FPDAC,56,111.95,6418.9,Anomaly
2274-XUATA,72,63.1,4685.55,Anomaly
2569-WGERO,72,21.15,1419.4,Anomaly
